"","VARIABLES","grade","spelling_value","math_value","reading_value"
"458","Medium","2","-0.018","0.00206","0.0461"
"459","Medium","2","-0.018","0.00206","0.0362"
"460","Medium","2","-0.018","0.00206","0.0209"
"461","Medium","2","-0.018","0.00977","0.00413"
"462","Medium","2","-0.018","0.00977","0.0461"
"463","Medium","2","-0.018","0.00977","0.0362"
"464","Medium","2","-0.018","0.00977","0.0209"
"465","Medium","3","0.0156","-0.0106","0.00413"
"466","Medium","3","0.0156","-0.0106","0.0461"
"467","Medium","3","0.0156","-0.0106","0.0362"
"468","Medium","3","0.0156","-0.0106","0.0209"
"469","Medium","3","0.0156","-0.0249","0.00413"
"470","Medium","3","0.0156","-0.0249","0.0461"
"471","Medium","3","0.0156","-0.0249","0.0362"
"472","Medium","3","0.0156","-0.0249","0.0209"
"473","Medium","3","0.0156","0.00206","0.00413"
"474","Medium","3","0.0156","0.00206","0.0461"
"475","Medium","3","0.0156","0.00206","0.0362"
"476","Medium","3","0.0156","0.00206","0.0209"
"477","Medium","3","0.0156","0.00977","0.00413"
"478","Medium","3","0.0156","0.00977","0.0461"
"479","Medium","3","0.0156","0.00977","0.0362"
"480","Medium","3","0.0156","0.00977","0.0209"
"481","Medium","4","-0.016","-0.0106","0.00413"
"482","Medium","4","-0.016","-0.0106","0.0461"
"483","Medium","4","-0.016","-0.0106","0.0362"
"484","Medium","4","-0.016","-0.0106","0.0209"
"485","Medium","4","-0.016","-0.0249","0.00413"
"486","Medium","4","-0.016","-0.0249","0.0461"
"487","Medium","4","-0.016","-0.0249","0.0362"
"488","Medium","4","-0.016","-0.0249","0.0209"
"489","Medium","4","-0.016","0.00206","0.00413"
"490","Medium","4","-0.016","0.00206","0.0461"
"491","Medium","4","-0.016","0.00206","0.0362"
"492","Medium","4","-0.016","0.00206","0.0209"
"493","Medium","4","-0.016","0.00977","0.00413"
"494","Medium","4","-0.016","0.00977","0.0461"
"495","Medium","4","-0.016","0.00977","0.0362"
"496","Medium","4","-0.016","0.00977","0.0209"
"497","Medium","5","0.0832","-0.0106","0.00413"
"498","Medium","5","0.0832","-0.0106","0.0461"
"499","Medium","5","0.0832","-0.0106","0.0362"
"500","Medium","5","0.0832","-0.0106","0.0209"
"501","Medium","5","0.0832","-0.0249","0.00413"
"502","Medium","5","0.0832","-0.0249","0.0461"
"503","Medium","5","0.0832","-0.0249","0.0362"
"504","Medium","5","0.0832","-0.0249","0.0209"
"505","Medium","5","0.0832","0.00206","0.00413"
"506","Medium","5","0.0832","0.00206","0.0461"
"507","Medium","5","0.0832","0.00206","0.0362"
"508","Medium","5","0.0832","0.00206","0.0209"
"509","Medium","5","0.0832","0.00977","0.00413"
"510","Medium","5","0.0832","0.00977","0.0461"
"511","Medium","5","0.0832","0.00977","0.0362"
"512","Medium","5","0.0832","0.00977","0.0209"
"513","High","2","0.0315","-0.00397","0.0235"
"514","High","2","0.0315","-0.00397","0.118"
"515","High","2","0.0315","-0.00397","0.11"
"516","High","2","0.0315","-0.00397","0.0467"
"517","High","2","0.0315","-0.00166","0.0235"
"518","High","2","0.0315","-0.00166","0.118"
"519","High","2","0.0315","-0.00166","0.11"
"520","High","2","0.0315","-0.00166","0.0467"
"521","High","2","0.0315","0.0061","0.0235"
"522","High","2","0.0315","0.0061","0.118"
"523","High","2","0.0315","0.0061","0.11"
"524","High","2","0.0315","0.0061","0.0467"
"525","High","2","0.0315","0.0153","0.0235"
"526","High","2","0.0315","0.0153","0.118"
"527","High","2","0.0315","0.0153","0.11"
"528","High","2","0.0315","0.0153","0.0467"
"529","High","3","0.0329","-0.00397","0.0235"
"530","High","3","0.0329","-0.00397","0.118"
"531","High","3","0.0329","-0.00397","0.11"
"532","High","3","0.0329","-0.00397","0.0467"
"533","High","3","0.0329","-0.00166","0.0235"
"534","High","3","0.0329","-0.00166","0.118"
"535","High","3","0.0329","-0.00166","0.11"
"536","High","3","0.0329","-0.00166","0.0467"
"537","High","3","0.0329","0.0061","0.0235"
"538","High","3","0.0329","0.0061","0.118"
"539","High","3","0.0329","0.0061","0.11"
"540","High","3","0.0329","0.0061","0.0467"
"541","High","3","0.0329","0.0153","0.0235"
"542","High","3","0.0329","0.0153","0.118"
"543","High","3","0.0329","0.0153","0.11"
"544","High","3","0.0329","0.0153","0.0467"
"545","High","4","-0.0142","-0.00397","0.0235"
"546","High","4","-0.0142","-0.00397","0.118"
"547","High","4","-0.0142","-0.00397","0.11"
"548","High","4","-0.0142","-0.00397","0.0467"
"549","High","4","-0.0142","-0.00166","0.0235"
"550","High","4","-0.0142","-0.00166","0.118"
"551","High","4","-0.0142","-0.00166","0.11"
"552","High","4","-0.0142","-0.00166","0.0467"
"553","High","4","-0.0142","0.0061","0.0235"
"554","High","4","-0.0142","0.0061","0.118"
"555","High","4","-0.0142","0.0061","0.11"
"556","High","4","-0.0142","0.0061","0.0467"
"557","High","4","-0.0142","0.0153","0.0235"
"558","High","4","-0.0142","0.0153","0.118"
"559","High","4","-0.0142","0.0153","0.11"
"560","High","4","-0.0142","0.0153","0.0467"
"561","High","5","0.127","-0.00397","0.0235"
"562","High","5","0.127","-0.00397","0.118"
"563","High","5","0.127","-0.00397","0.11"
"564","High","5","0.127","-0.00397","0.0467"
"565","High","5","0.127","-0.00166","0.0235"
"566","High","5","0.127","-0.00166","0.118"
"567","High","5","0.127","-0.00166","0.11"
"568","High","5","0.127","-0.00166","0.0467"
"569","High","5","0.127","0.0061","0.0235"
"570","High","5","0.127","0.0061","0.118"
"571","High","5","0.127","0.0061","0.11"
"572","High","5","0.127","0.0061","0.0467"
"573","High","5","0.127","0.0153","0.0235"
"574","High","5","0.127","0.0153","0.118"
"575","High","5","0.127","0.0153","0.11"
"576","High","5","0.127","0.0153","0.0467"
"577","Missing","2","0.0127","-0.018","-0.0303"
"578","Missing","2","0.0127","-0.018","0.0483"
"579","Missing","2","0.0127","-0.018","0.0301"
"580","Missing","2","0.0127","-0.018","0.0459"
"581","Missing","2","0.0127","-0.0241","-0.0303"
"582","Missing","2","0.0127","-0.0241","0.0483"
"583","Missing","2","0.0127","-0.0241","0.0301"
"584","Missing","2","0.0127","-0.0241","0.0459"
"585","Missing","2","0.0127","0.0169","-0.0303"
"586","Missing","2","0.0127","0.0169","0.0483"
"587","Missing","2","0.0127","0.0169","0.0301"
"588","Missing","2","0.0127","0.0169","0.0459"
"589","Missing","2","0.0127","0.0181","-0.0303"
"590","Missing","2","0.0127","0.0181","0.0483"
"591","Missing","2","0.0127","0.0181","0.0301"
"592","Missing","2","0.0127","0.0181","0.0459"
"593","Missing","3","0.045","-0.018","-0.0303"
"594","Missing","3","0.045","-0.018","0.0483"
"595","Missing","3","0.045","-0.018","0.0301"
"596","Missing","3","0.045","-0.018","0.0459"
"597","Missing","3","0.045","-0.0241","-0.0303"
"598","Missing","3","0.045","-0.0241","0.0483"
"599","Missing","3","0.045","-0.0241","0.0301"
"600","Missing","3","0.045","-0.0241","0.0459"
"601","Missing","3","0.045","0.0169","-0.0303"
"602","Missing","3","0.045","0.0169","0.0483"
"603","Missing","3","0.045","0.0169","0.0301"
"604","Missing","3","0.045","0.0169","0.0459"
"605","Missing","3","0.045","0.0181","-0.0303"
"606","Missing","3","0.045","0.0181","0.0483"
"607","Missing","3","0.045","0.0181","0.0301"
"608","Missing","3","0.045","0.0181","0.0459"
"609","Missing","4","-0.0115","-0.018","-0.0303"
"610","Missing","4","-0.0115","-0.018","0.0483"
"611","Missing","4","-0.0115","-0.018","0.0301"
"612","Missing","4","-0.0115","-0.018","0.0459"
"613","Missing","4","-0.0115","-0.0241","-0.0303"
"614","Missing","4","-0.0115","-0.0241","0.0483"
"615","Missing","4","-0.0115","-0.0241","0.0301"
"616","Missing","4","-0.0115","-0.0241","0.0459"
"617","Missing","4","-0.0115","0.0169","-0.0303"
"618","Missing","4","-0.0115","0.0169","0.0483"
"619","Missing","4","-0.0115","0.0169","0.0301"
"620","Missing","4","-0.0115","0.0169","0.0459"
"621","Missing","4","-0.0115","0.0181","-0.0303"
"622","Missing","4","-0.0115","0.0181","0.0483"
"623","Missing","4","-0.0115","0.0181","0.0301"
"624","Missing","4","-0.0115","0.0181","0.0459"
"625","Missing","5","0.068","-0.018","-0.0303"
"626","Missing","5","0.068","-0.018","0.0483"
"627","Missing","5","0.068","-0.018","0.0301"
"628","Missing","5","0.068","-0.018","0.0459"
"629","Missing","5","0.068","-0.0241","-0.0303"
"630","Missing","5","0.068","-0.0241","0.0483"
"631","Missing","5","0.068","-0.0241","0.0301"
"632","Missing","5","0.068","-0.0241","0.0459"
"633","Missing","5","0.068","0.0169","-0.0303"
"634","Missing","5","0.068","0.0169","0.0483"
"635","Missing","5","0.068","0.0169","0.0301"
"636","Missing","5","0.068","0.0169","0.0459"
"637","Missing","5","0.068","0.0181","-0.0303"
"638","Missing","5","0.068","0.0181","0.0483"
"639","Missing","5","0.068","0.0181","0.0301"
"640","Missing","5","0.068","0.0181","0.0459"
"641","COVID-19 year * Parental education medium","2","0.044","0.0428","-0.0321"
"642","COVID-19 year * Parental education medium","2","0.044","0.0428","-0.053"
"643","COVID-19 year * Parental education medium","2","0.044","0.0428","-0.056"
"644","COVID-19 year * Parental education medium","2","0.044","0.0428","-0.0416"
"645","COVID-19 year * Parental education medium","2","0.044","0.0626","-0.0321"
"646","COVID-19 year * Parental education medium","2","0.044","0.0626","-0.053"
"647","COVID-19 year * Parental education medium","2","0.044","0.0626","-0.056"
"648","COVID-19 year * Parental education medium","2","0.044","0.0626","-0.0416"
"649","COVID-19 year * Parental education medium","2","0.044","0.0339","-0.0321"
"650","COVID-19 year * Parental education medium","2","0.044","0.0339","-0.053"
"651","COVID-19 year * Parental education medium","2","0.044","0.0339","-0.056"
"652","COVID-19 year * Parental education medium","2","0.044","0.0339","-0.0416"
"653","COVID-19 year * Parental education medium","2","0.044","0.0162","-0.0321"
"654","COVID-19 year * Parental education medium","2","0.044","0.0162","-0.053"
"655","COVID-19 year * Parental education medium","2","0.044","0.0162","-0.056"
"656","COVID-19 year * Parental education medium","2","0.044","0.0162","-0.0416"
"657","COVID-19 year * Parental education medium","3","-0.0248","0.0428","-0.0321"
"658","COVID-19 year * Parental education medium","3","-0.0248","0.0428","-0.053"
"659","COVID-19 year * Parental education medium","3","-0.0248","0.0428","-0.056"
"660","COVID-19 year * Parental education medium","3","-0.0248","0.0428","-0.0416"
"661","COVID-19 year * Parental education medium","3","-0.0248","0.0626","-0.0321"
"662","COVID-19 year * Parental education medium","3","-0.0248","0.0626","-0.053"
"663","COVID-19 year * Parental education medium","3","-0.0248","0.0626","-0.056"
"664","COVID-19 year * Parental education medium","3","-0.0248","0.0626","-0.0416"
"665","COVID-19 year * Parental education medium","3","-0.0248","0.0339","-0.0321"
"666","COVID-19 year * Parental education medium","3","-0.0248","0.0339","-0.053"
"667","COVID-19 year * Parental education medium","3","-0.0248","0.0339","-0.056"
"668","COVID-19 year * Parental education medium","3","-0.0248","0.0339","-0.0416"
"669","COVID-19 year * Parental education medium","3","-0.0248","0.0162","-0.0321"
"670","COVID-19 year * Parental education medium","3","-0.0248","0.0162","-0.053"
"671","COVID-19 year * Parental education medium","3","-0.0248","0.0162","-0.056"
"672","COVID-19 year * Parental education medium","3","-0.0248","0.0162","-0.0416"
"673","COVID-19 year * Parental education medium","4","0.0286","0.0428","-0.0321"
"674","COVID-19 year * Parental education medium","4","0.0286","0.0428","-0.053"
"675","COVID-19 year * Parental education medium","4","0.0286","0.0428","-0.056"
"676","COVID-19 year * Parental education medium","4","0.0286","0.0428","-0.0416"
"677","COVID-19 year * Parental education medium","4","0.0286","0.0626","-0.0321"
"678","COVID-19 year * Parental education medium","4","0.0286","0.0626","-0.053"
"679","COVID-19 year * Parental education medium","4","0.0286","0.0626","-0.056"
"680","COVID-19 year * Parental education medium","4","0.0286","0.0626","-0.0416"
"681","COVID-19 year * Parental education medium","4","0.0286","0.0339","-0.0321"
"682","COVID-19 year * Parental education medium","4","0.0286","0.0339","-0.053"
"683","COVID-19 year * Parental education medium","4","0.0286","0.0339","-0.056"
"684","COVID-19 year * Parental education medium","4","0.0286","0.0339","-0.0416"
"685","COVID-19 year * Parental education medium","4","0.0286","0.0162","-0.0321"
"686","COVID-19 year * Parental education medium","4","0.0286","0.0162","-0.053"
"687","COVID-19 year * Parental education medium","4","0.0286","0.0162","-0.056"
"688","COVID-19 year * Parental education medium","4","0.0286","0.0162","-0.0416"
"689","COVID-19 year * Parental education medium","5","-0.0484","0.0428","-0.0321"
"690","COVID-19 year * Parental education medium","5","-0.0484","0.0428","-0.053"
"691","COVID-19 year * Parental education medium","5","-0.0484","0.0428","-0.056"
"692","COVID-19 year * Parental education medium","5","-0.0484","0.0428","-0.0416"
"693","COVID-19 year * Parental education medium","5","-0.0484","0.0626","-0.0321"
"694","COVID-19 year * Parental education medium","5","-0.0484","0.0626","-0.053"
"695","COVID-19 year * Parental education medium","5","-0.0484","0.0626","-0.056"
"696","COVID-19 year * Parental education medium","5","-0.0484","0.0626","-0.0416"
"697","COVID-19 year * Parental education medium","5","-0.0484","0.0339","-0.0321"
"698","COVID-19 year * Parental education medium","5","-0.0484","0.0339","-0.053"
"699","COVID-19 year * Parental education medium","5","-0.0484","0.0339","-0.056"
"700","COVID-19 year * Parental education medium","5","-0.0484","0.0339","-0.0416"
"701","COVID-19 year * Parental education medium","5","-0.0484","0.0162","-0.0321"
"702","COVID-19 year * Parental education medium","5","-0.0484","0.0162","-0.053"
"703","COVID-19 year * Parental education medium","5","-0.0484","0.0162","-0.056"
"704","COVID-19 year * Parental education medium","5","-0.0484","0.0162","-0.0416"
"705","COVID-19 year * Parental education high","2","0.066","0.117","0.0148"
"706","COVID-19 year * Parental education high","2","0.066","0.117","-0.0253"
"707","COVID-19 year * Parental education high","2","0.066","0.117","0.0025"
"708","COVID-19 year * Parental education high","2","0.066","0.117","-0.0153"
"709","COVID-19 year * Parental education high","2","0.066","0.106","0.0148"
"710","COVID-19 year * Parental education high","2","0.066","0.106","-0.0253"
"711","COVID-19 year * Parental education high","2","0.066","0.106","0.0025"
"712","COVID-19 year * Parental education high","2","0.066","0.106","-0.0153"
"713","COVID-19 year * Parental education high","2","0.066","0.133","0.0148"
"714","COVID-19 year * Parental education high","2","0.066","0.133","-0.0253"
"715","COVID-19 year * Parental education high","2","0.066","0.133","0.0025"
"716","COVID-19 year * Parental education high","2","0.066","0.133","-0.0153"
"717","COVID-19 year * Parental education high","2","0.066","0.047","0.0148"
"718","COVID-19 year * Parental education high","2","0.066","0.047","-0.0253"
"719","COVID-19 year * Parental education high","2","0.066","0.047","0.0025"
"720","COVID-19 year * Parental education high","2","0.066","0.047","-0.0153"
"721","COVID-19 year * Parental education high","3","0.0421","0.117","0.0148"
"722","COVID-19 year * Parental education high","3","0.0421","0.117","-0.0253"
"723","COVID-19 year * Parental education high","3","0.0421","0.117","0.0025"
"724","COVID-19 year * Parental education high","3","0.0421","0.117","-0.0153"
"725","COVID-19 year * Parental education high","3","0.0421","0.106","0.0148"
"726","COVID-19 year * Parental education high","3","0.0421","0.106","-0.0253"
"727","COVID-19 year * Parental education high","3","0.0421","0.106","0.0025"
"728","COVID-19 year * Parental education high","3","0.0421","0.106","-0.0153"
"729","COVID-19 year * Parental education high","3","0.0421","0.133","0.0148"
"730","COVID-19 year * Parental education high","3","0.0421","0.133","-0.0253"
"731","COVID-19 year * Parental education high","3","0.0421","0.133","0.0025"
"732","COVID-19 year * Parental education high","3","0.0421","0.133","-0.0153"
"733","COVID-19 year * Parental education high","3","0.0421","0.047","0.0148"
"734","COVID-19 year * Parental education high","3","0.0421","0.047","-0.0253"
"735","COVID-19 year * Parental education high","3","0.0421","0.047","0.0025"
"736","COVID-19 year * Parental education high","3","0.0421","0.047","-0.0153"
"737","COVID-19 year * Parental education high","4","0.0548","0.117","0.0148"
"738","COVID-19 year * Parental education high","4","0.0548","0.117","-0.0253"
"739","COVID-19 year * Parental education high","4","0.0548","0.117","0.0025"
"740","COVID-19 year * Parental education high","4","0.0548","0.117","-0.0153"
"741","COVID-19 year * Parental education high","4","0.0548","0.106","0.0148"
"742","COVID-19 year * Parental education high","4","0.0548","0.106","-0.0253"
"743","COVID-19 year * Parental education high","4","0.0548","0.106","0.0025"
"744","COVID-19 year * Parental education high","4","0.0548","0.106","-0.0153"
"745","COVID-19 year * Parental education high","4","0.0548","0.133","0.0148"
"746","COVID-19 year * Parental education high","4","0.0548","0.133","-0.0253"
"747","COVID-19 year * Parental education high","4","0.0548","0.133","0.0025"
"748","COVID-19 year * Parental education high","4","0.0548","0.133","-0.0153"
"749","COVID-19 year * Parental education high","4","0.0548","0.047","0.0148"
"750","COVID-19 year * Parental education high","4","0.0548","0.047","-0.0253"
"751","COVID-19 year * Parental education high","4","0.0548","0.047","0.0025"
"752","COVID-19 year * Parental education high","4","0.0548","0.047","-0.0153"
"753","COVID-19 year * Parental education high","5","-0.000224","0.117","0.0148"
"754","COVID-19 year * Parental education high","5","-0.000224","0.117","-0.0253"
"755","COVID-19 year * Parental education high","5","-0.000224","0.117","0.0025"
"756","COVID-19 year * Parental education high","5","-0.000224","0.117","-0.0153"
"757","COVID-19 year * Parental education high","5","-0.000224","0.106","0.0148"
"758","COVID-19 year * Parental education high","5","-0.000224","0.106","-0.0253"
"759","COVID-19 year * Parental education high","5","-0.000224","0.106","0.0025"
"760","COVID-19 year * Parental education high","5","-0.000224","0.106","-0.0153"
"761","COVID-19 year * Parental education high","5","-0.000224","0.133","0.0148"
"762","COVID-19 year * Parental education high","5","-0.000224","0.133","-0.0253"
"763","COVID-19 year * Parental education high","5","-0.000224","0.133","0.0025"
"764","COVID-19 year * Parental education high","5","-0.000224","0.133","-0.0153"
"765","COVID-19 year * Parental education high","5","-0.000224","0.047","0.0148"
"766","COVID-19 year * Parental education high","5","-0.000224","0.047","-0.0253"
"767","COVID-19 year * Parental education high","5","-0.000224","0.047","0.0025"
"768","COVID-19 year * Parental education high","5","-0.000224","0.047","-0.0153"
"769","COVID-19 year * Parental education missing","2","0.00363","0.118","0.0536"
"770","COVID-19 year * Parental education missing","2","0.00363","0.118","-0.0418"
"771","COVID-19 year * Parental education missing","2","0.00363","0.118","-0.0015"
"772","COVID-19 year * Parental education missing","2","0.00363","0.118","-0.066"
"773","COVID-19 year * Parental education missing","2","0.00363","0.133","0.0536"
"774","COVID-19 year * Parental education missing","2","0.00363","0.133","-0.0418"
"775","COVID-19 year * Parental education missing","2","0.00363","0.133","-0.0015"
"776","COVID-19 year * Parental education missing","2","0.00363","0.133","-0.066"
"777","COVID-19 year * Parental education missing","2","0.00363","0.0498","0.0536"
"778","COVID-19 year * Parental education missing","2","0.00363","0.0498","-0.0418"
"779","COVID-19 year * Parental education missing","2","0.00363","0.0498","-0.0015"
"780","COVID-19 year * Parental education missing","2","0.00363","0.0498","-0.066"
"781","COVID-19 year * Parental education missing","2","0.00363","0.0501","0.0536"
"782","COVID-19 year * Parental education missing","2","0.00363","0.0501","-0.0418"
"783","COVID-19 year * Parental education missing","2","0.00363","0.0501","-0.0015"
"784","COVID-19 year * Parental education missing","2","0.00363","0.0501","-0.066"
"785","COVID-19 year * Parental education missing","3","0.0141","0.118","0.0536"
"786","COVID-19 year * Parental education missing","3","0.0141","0.118","-0.0418"
"787","COVID-19 year * Parental education missing","3","0.0141","0.118","-0.0015"
"788","COVID-19 year * Parental education missing","3","0.0141","0.118","-0.066"
"789","COVID-19 year * Parental education missing","3","0.0141","0.133","0.0536"
"790","COVID-19 year * Parental education missing","3","0.0141","0.133","-0.0418"
"791","COVID-19 year * Parental education missing","3","0.0141","0.133","-0.0015"
"792","COVID-19 year * Parental education missing","3","0.0141","0.133","-0.066"
"793","COVID-19 year * Parental education missing","3","0.0141","0.0498","0.0536"
"794","COVID-19 year * Parental education missing","3","0.0141","0.0498","-0.0418"
"795","COVID-19 year * Parental education missing","3","0.0141","0.0498","-0.0015"
"796","COVID-19 year * Parental education missing","3","0.0141","0.0498","-0.066"
"797","COVID-19 year * Parental education missing","3","0.0141","0.0501","0.0536"
"798","COVID-19 year * Parental education missing","3","0.0141","0.0501","-0.0418"
"799","COVID-19 year * Parental education missing","3","0.0141","0.0501","-0.0015"
"800","COVID-19 year * Parental education missing","3","0.0141","0.0501","-0.066"
"801","COVID-19 year * Parental education missing","4","0.0256","0.118","0.0536"
"802","COVID-19 year * Parental education missing","4","0.0256","0.118","-0.0418"
"803","COVID-19 year * Parental education missing","4","0.0256","0.118","-0.0015"
"804","COVID-19 year * Parental education missing","4","0.0256","0.118","-0.066"
"805","COVID-19 year * Parental education missing","4","0.0256","0.133","0.0536"
"806","COVID-19 year * Parental education missing","4","0.0256","0.133","-0.0418"
"807","COVID-19 year * Parental education missing","4","0.0256","0.133","-0.0015"
"808","COVID-19 year * Parental education missing","4","0.0256","0.133","-0.066"
"809","COVID-19 year * Parental education missing","4","0.0256","0.0498","0.0536"
"810","COVID-19 year * Parental education missing","4","0.0256","0.0498","-0.0418"
"811","COVID-19 year * Parental education missing","4","0.0256","0.0498","-0.0015"
"812","COVID-19 year * Parental education missing","4","0.0256","0.0498","-0.066"
"813","COVID-19 year * Parental education missing","4","0.0256","0.0501","0.0536"
"814","COVID-19 year * Parental education missing","4","0.0256","0.0501","-0.0418"
"815","COVID-19 year * Parental education missing","4","0.0256","0.0501","-0.0015"
"816","COVID-19 year * Parental education missing","4","0.0256","0.0501","-0.066"
"817","COVID-19 year * Parental education missing","5","0.019","0.118","0.0536"
"818","COVID-19 year * Parental education missing","5","0.019","0.118","-0.0418"
"819","COVID-19 year * Parental education missing","5","0.019","0.118","-0.0015"
"820","COVID-19 year * Parental education missing","5","0.019","0.118","-0.066"
"821","COVID-19 year * Parental education missing","5","0.019","0.133","0.0536"
"822","COVID-19 year * Parental education missing","5","0.019","0.133","-0.0418"
"823","COVID-19 year * Parental education missing","5","0.019","0.133","-0.0015"
"824","COVID-19 year * Parental education missing","5","0.019","0.133","-0.066"
"825","COVID-19 year * Parental education missing","5","0.019","0.0498","0.0536"
"826","COVID-19 year * Parental education missing","5","0.019","0.0498","-0.0418"
"827","COVID-19 year * Parental education missing","5","0.019","0.0498","-0.0015"
"828","COVID-19 year * Parental education missing","5","0.019","0.0498","-0.066"
"829","COVID-19 year * Parental education missing","5","0.019","0.0501","0.0536"
"830","COVID-19 year * Parental education missing","5","0.019","0.0501","-0.0418"
"831","COVID-19 year * Parental education missing","5","0.019","0.0501","-0.0015"
"832","COVID-19 year * Parental education missing","5","0.019","0.0501","-0.066"
"833","Constant","2","0.00969","0.0524","0.0398"
"834","Constant","2","0.00969","0.0524","0.0108"
"835","Constant","2","0.00969","0.0524","-0.0539"
"836","Constant","2","0.00969","0.0524","0.0244"
"837","Constant","2","0.00969","0.0256","0.0398"
"838","Constant","2","0.00969","0.0256","0.0108"
"839","Constant","2","0.00969","0.0256","-0.0539"
"840","Constant","2","0.00969","0.0256","0.0244"
"841","Constant","2","0.00969","0.0365","0.0398"
"842","Constant","2","0.00969","0.0365","0.0108"
"843","Constant","2","0.00969","0.0365","-0.0539"
"844","Constant","2","0.00969","0.0365","0.0244"
"845","Constant","2","0.00969","0.043","0.0398"
"846","Constant","2","0.00969","0.043","0.0108"
"847","Constant","2","0.00969","0.043","-0.0539"
"848","Constant","2","0.00969","0.043","0.0244"
"849","Constant","3","0.004","0.0524","0.0398"
"850","Constant","3","0.004","0.0524","0.0108"
"851","Constant","3","0.004","0.0524","-0.0539"
"852","Constant","3","0.004","0.0524","0.0244"
"853","Constant","3","0.004","0.0256","0.0398"
"854","Constant","3","0.004","0.0256","0.0108"
"855","Constant","3","0.004","0.0256","-0.0539"
"856","Constant","3","0.004","0.0256","0.0244"
"857","Constant","3","0.004","0.0365","0.0398"
"858","Constant","3","0.004","0.0365","0.0108"
"859","Constant","3","0.004","0.0365","-0.0539"
"860","Constant","3","0.004","0.0365","0.0244"
"861","Constant","3","0.004","0.043","0.0398"
"862","Constant","3","0.004","0.043","0.0108"
"863","Constant","3","0.004","0.043","-0.0539"
"864","Constant","3","0.004","0.043","0.0244"
"865","Constant","4","0.0325","0.0524","0.0398"
"866","Constant","4","0.0325","0.0524","0.0108"
"867","Constant","4","0.0325","0.0524","-0.0539"
"868","Constant","4","0.0325","0.0524","0.0244"
"869","Constant","4","0.0325","0.0256","0.0398"
"870","Constant","4","0.0325","0.0256","0.0108"
"871","Constant","4","0.0325","0.0256","-0.0539"
"872","Constant","4","0.0325","0.0256","0.0244"
"873","Constant","4","0.0325","0.0365","0.0398"
"874","Constant","4","0.0325","0.0365","0.0108"
"875","Constant","4","0.0325","0.0365","-0.0539"
"876","Constant","4","0.0325","0.0365","0.0244"
"877","Constant","4","0.0325","0.043","0.0398"
"878","Constant","4","0.0325","0.043","0.0108"
"879","Constant","4","0.0325","0.043","-0.0539"
"880","Constant","4","0.0325","0.043","0.0244"
"881","Constant","5","-0.0412","0.0524","0.0398"
"882","Constant","5","-0.0412","0.0524","0.0108"
"883","Constant","5","-0.0412","0.0524","-0.0539"
"884","Constant","5","-0.0412","0.0524","0.0244"
"885","Constant","5","-0.0412","0.0256","0.0398"
"886","Constant","5","-0.0412","0.0256","0.0108"
"887","Constant","5","-0.0412","0.0256","-0.0539"
"888","Constant","5","-0.0412","0.0256","0.0244"
"889","Constant","5","-0.0412","0.0365","0.0398"
"890","Constant","5","-0.0412","0.0365","0.0108"
"891","Constant","5","-0.0412","0.0365","-0.0539"
"892","Constant","5","-0.0412","0.0365","0.0244"
"893","Constant","5","-0.0412","0.043","0.0398"
"894","Constant","5","-0.0412","0.043","0.0108"
"895","Constant","5","-0.0412","0.043","-0.0539"
"896","Constant","5","-0.0412","0.043","0.0244"
"897","Observations","2","67,295","71,188","55,303"
"898","Observations","2","67,295","71,188","68,721"
"899","Observations","2","67,295","71,188","68,802"
"900","Observations","2","67,295","71,188","49,491"
"901","Observations","2","67,295","75,577","55,303"
"902","Observations","2","67,295","75,577","68,721"
"903","Observations","2","67,295","75,577","68,802"
"904","Observations","2","67,295","75,577","49,491"
"905","Observations","2","67,295","79,786","55,303"
"906","Observations","2","67,295","79,786","68,721"
"907","Observations","2","67,295","79,786","68,802"
"908","Observations","2","67,295","79,786","49,491"
"909","Observations","2","67,295","69,986","55,303"
"910","Observations","2","67,295","69,986","68,721"
"911","Observations","2","67,295","69,986","68,802"
"912","Observations","2","67,295","69,986","49,491"
"913","Observations","3","72,125","71,188","55,303"
"914","Observations","3","72,125","71,188","68,721"
"915","Observations","3","72,125","71,188","68,802"
"916","Observations","3","72,125","71,188","49,491"
"917","Observations","3","72,125","75,577","55,303"
"918","Observations","3","72,125","75,577","68,721"
"919","Observations","3","72,125","75,577","68,802"
"920","Observations","3","72,125","75,577","49,491"
"921","Observations","3","72,125","79,786","55,303"
"922","Observations","3","72,125","79,786","68,721"
"923","Observations","3","72,125","79,786","68,802"
"924","Observations","3","72,125","79,786","49,491"
"925","Observations","3","72,125","69,986","55,303"
"926","Observations","3","72,125","69,986","68,721"
"927","Observations","3","72,125","69,986","68,802"
"928","Observations","3","72,125","69,986","49,491"
"929","Observations","4","71,089","71,188","55,303"
"930","Observations","4","71,089","71,188","68,721"
"931","Observations","4","71,089","71,188","68,802"
"932","Observations","4","71,089","71,188","49,491"
"933","Observations","4","71,089","75,577","55,303"
"934","Observations","4","71,089","75,577","68,721"
"935","Observations","4","71,089","75,577","68,802"
"936","Observations","4","71,089","75,577","49,491"
"937","Observations","4","71,089","79,786","55,303"
"938","Observations","4","71,089","79,786","68,721"
"939","Observations","4","71,089","79,786","68,802"
"940","Observations","4","71,089","79,786","49,491"
"941","Observations","4","71,089","69,986","55,303"
"942","Observations","4","71,089","69,986","68,721"
"943","Observations","4","71,089","69,986","68,802"
