"","VARIABLES","grade","spelling_value","math_value","reading_value"
"95","Medium","3","-0.0212","-0.0144","-0.00709"
"96","Medium","3","-0.0212","-0.0144","0.0186"
"97","Medium","4","-0.0161","-0.0247","-0.0233"
"98","Medium","4","-0.0161","-0.0247","-0.0105"
"99","Medium","4","-0.0161","-0.0247","-0.00709"
"100","Medium","4","-0.0161","-0.0247","0.0186"
"101","Medium","4","-0.0161","-0.00393","-0.0233"
"102","Medium","4","-0.0161","-0.00393","-0.0105"
"103","Medium","4","-0.0161","-0.00393","-0.00709"
"104","Medium","4","-0.0161","-0.00393","0.0186"
"105","Medium","4","-0.0161","-0.0162","-0.0233"
"106","Medium","4","-0.0161","-0.0162","-0.0105"
"107","Medium","4","-0.0161","-0.0162","-0.00709"
"108","Medium","4","-0.0161","-0.0162","0.0186"
"109","Medium","4","-0.0161","-0.0144","-0.0233"
"110","Medium","4","-0.0161","-0.0144","-0.0105"
"111","Medium","4","-0.0161","-0.0144","-0.00709"
"112","Medium","4","-0.0161","-0.0144","0.0186"
"113","Medium","5","0.0046","-0.0247","-0.0233"
"114","Medium","5","0.0046","-0.0247","-0.0105"
"115","Medium","5","0.0046","-0.0247","-0.00709"
"116","Medium","5","0.0046","-0.0247","0.0186"
"117","Medium","5","0.0046","-0.00393","-0.0233"
"118","Medium","5","0.0046","-0.00393","-0.0105"
"119","Medium","5","0.0046","-0.00393","-0.00709"
"120","Medium","5","0.0046","-0.00393","0.0186"
"121","Medium","5","0.0046","-0.0162","-0.0233"
"122","Medium","5","0.0046","-0.0162","-0.0105"
"123","Medium","5","0.0046","-0.0162","-0.00709"
"124","Medium","5","0.0046","-0.0162","0.0186"
"125","Medium","5","0.0046","-0.0144","-0.0233"
"126","Medium","5","0.0046","-0.0144","-0.0105"
"127","Medium","5","0.0046","-0.0144","-0.00709"
"128","Medium","5","0.0046","-0.0144","0.0186"
"129","High","2","0.0176","-0.0427","0.0181"
"130","High","2","0.0176","-0.0427","0.0326"
"131","High","2","0.0176","-0.0427","0.0291"
"132","High","2","0.0176","-0.0427","0.0327"
"133","High","2","0.0176","0.00333","0.0181"
"134","High","2","0.0176","0.00333","0.0326"
"135","High","2","0.0176","0.00333","0.0291"
"136","High","2","0.0176","0.00333","0.0327"
"137","High","2","0.0176","0.012","0.0181"
"138","High","2","0.0176","0.012","0.0326"
"139","High","2","0.0176","0.012","0.0291"
"140","High","2","0.0176","0.012","0.0327"
"141","High","2","0.0176","-0.00313","0.0181"
"142","High","2","0.0176","-0.00313","0.0326"
"143","High","2","0.0176","-0.00313","0.0291"
"144","High","2","0.0176","-0.00313","0.0327"
"145","High","3","-0.0323","-0.0427","0.0181"
"146","High","3","-0.0323","-0.0427","0.0326"
"147","High","3","-0.0323","-0.0427","0.0291"
"148","High","3","-0.0323","-0.0427","0.0327"
"149","High","3","-0.0323","0.00333","0.0181"
"150","High","3","-0.0323","0.00333","0.0326"
"151","High","3","-0.0323","0.00333","0.0291"
"152","High","3","-0.0323","0.00333","0.0327"
"153","High","3","-0.0323","0.012","0.0181"
"154","High","3","-0.0323","0.012","0.0326"
"155","High","3","-0.0323","0.012","0.0291"
"156","High","3","-0.0323","0.012","0.0327"
"157","High","3","-0.0323","-0.00313","0.0181"
"158","High","3","-0.0323","-0.00313","0.0326"
"159","High","3","-0.0323","-0.00313","0.0291"
"160","High","3","-0.0323","-0.00313","0.0327"
"161","High","4","-0.0214","-0.0427","0.0181"
"162","High","4","-0.0214","-0.0427","0.0326"
"163","High","4","-0.0214","-0.0427","0.0291"
"164","High","4","-0.0214","-0.0427","0.0327"
"165","High","4","-0.0214","0.00333","0.0181"
"166","High","4","-0.0214","0.00333","0.0326"
"167","High","4","-0.0214","0.00333","0.0291"
"168","High","4","-0.0214","0.00333","0.0327"
"169","High","4","-0.0214","0.012","0.0181"
"170","High","4","-0.0214","0.012","0.0326"
"171","High","4","-0.0214","0.012","0.0291"
"172","High","4","-0.0214","0.012","0.0327"
"173","High","4","-0.0214","-0.00313","0.0181"
"174","High","4","-0.0214","-0.00313","0.0326"
"175","High","4","-0.0214","-0.00313","0.0291"
"176","High","4","-0.0214","-0.00313","0.0327"
"177","High","5","0.0145","-0.0427","0.0181"
"178","High","5","0.0145","-0.0427","0.0326"
"179","High","5","0.0145","-0.0427","0.0291"
"180","High","5","0.0145","-0.0427","0.0327"
"181","High","5","0.0145","0.00333","0.0181"
"182","High","5","0.0145","0.00333","0.0326"
"183","High","5","0.0145","0.00333","0.0291"
"184","High","5","0.0145","0.00333","0.0327"
"185","High","5","0.0145","0.012","0.0181"
"186","High","5","0.0145","0.012","0.0326"
"187","High","5","0.0145","0.012","0.0291"
"188","High","5","0.0145","0.012","0.0327"
"189","High","5","0.0145","-0.00313","0.0181"
"190","High","5","0.0145","-0.00313","0.0326"
"191","High","5","0.0145","-0.00313","0.0291"
"192","High","5","0.0145","-0.00313","0.0327"
"193","Missing","2","0.207","0.0372","0.0498"
"194","Missing","2","0.207","0.0372","0.0456"
"195","Missing","2","0.207","0.0372","0.111"
"196","Missing","2","0.207","0.0372","0.117"
"197","Missing","2","0.207","0.0135","0.0498"
"198","Missing","2","0.207","0.0135","0.0456"
"199","Missing","2","0.207","0.0135","0.111"
"200","Missing","2","0.207","0.0135","0.117"
"201","Missing","2","0.207","0.0834","0.0498"
"202","Missing","2","0.207","0.0834","0.0456"
"203","Missing","2","0.207","0.0834","0.111"
"204","Missing","2","0.207","0.0834","0.117"
"205","Missing","2","0.207","0.0846","0.0498"
"206","Missing","2","0.207","0.0846","0.0456"
"207","Missing","2","0.207","0.0846","0.111"
"208","Missing","2","0.207","0.0846","0.117"
"209","Missing","3","0.0962","0.0372","0.0498"
"210","Missing","3","0.0962","0.0372","0.0456"
"211","Missing","3","0.0962","0.0372","0.111"
"212","Missing","3","0.0962","0.0372","0.117"
"213","Missing","3","0.0962","0.0135","0.0498"
"214","Missing","3","0.0962","0.0135","0.0456"
"215","Missing","3","0.0962","0.0135","0.111"
"216","Missing","3","0.0962","0.0135","0.117"
"217","Missing","3","0.0962","0.0834","0.0498"
"218","Missing","3","0.0962","0.0834","0.0456"
"219","Missing","3","0.0962","0.0834","0.111"
"220","Missing","3","0.0962","0.0834","0.117"
"221","Missing","3","0.0962","0.0846","0.0498"
"222","Missing","3","0.0962","0.0846","0.0456"
"223","Missing","3","0.0962","0.0846","0.111"
"224","Missing","3","0.0962","0.0846","0.117"
"225","Missing","4","0.284","0.0372","0.0498"
"226","Missing","4","0.284","0.0372","0.0456"
"227","Missing","4","0.284","0.0372","0.111"
"228","Missing","4","0.284","0.0372","0.117"
"229","Missing","4","0.284","0.0135","0.0498"
"230","Missing","4","0.284","0.0135","0.0456"
"231","Missing","4","0.284","0.0135","0.111"
"232","Missing","4","0.284","0.0135","0.117"
"233","Missing","4","0.284","0.0834","0.0498"
"234","Missing","4","0.284","0.0834","0.0456"
"235","Missing","4","0.284","0.0834","0.111"
"236","Missing","4","0.284","0.0834","0.117"
"237","Missing","4","0.284","0.0846","0.0498"
"238","Missing","4","0.284","0.0846","0.0456"
"239","Missing","4","0.284","0.0846","0.111"
"240","Missing","4","0.284","0.0846","0.117"
"241","Missing","5","0.213","0.0372","0.0498"
"242","Missing","5","0.213","0.0372","0.0456"
"243","Missing","5","0.213","0.0372","0.111"
"244","Missing","5","0.213","0.0372","0.117"
"245","Missing","5","0.213","0.0135","0.0498"
"246","Missing","5","0.213","0.0135","0.0456"
"247","Missing","5","0.213","0.0135","0.111"
"248","Missing","5","0.213","0.0135","0.117"
"249","Missing","5","0.213","0.0834","0.0498"
"250","Missing","5","0.213","0.0834","0.0456"
"251","Missing","5","0.213","0.0834","0.111"
"252","Missing","5","0.213","0.0834","0.117"
"253","Missing","5","0.213","0.0846","0.0498"
"254","Missing","5","0.213","0.0846","0.0456"
"255","Missing","5","0.213","0.0846","0.111"
"256","Missing","5","0.213","0.0846","0.117"
"257","COVID-19 year * Medium income household","2","0.0478","0.0934","0.0352"
"258","COVID-19 year * Medium income household","2","0.0478","0.0934","0.0632"
"259","COVID-19 year * Medium income household","2","0.0478","0.0934","0.0403"
"260","COVID-19 year * Medium income household","2","0.0478","0.0934","0.0397"
"261","COVID-19 year * Medium income household","2","0.0478","0.0727","0.0352"
"262","COVID-19 year * Medium income household","2","0.0478","0.0727","0.0632"
"263","COVID-19 year * Medium income household","2","0.0478","0.0727","0.0403"
"264","COVID-19 year * Medium income household","2","0.0478","0.0727","0.0397"
"265","COVID-19 year * Medium income household","2","0.0478","0.057","0.0352"
"266","COVID-19 year * Medium income household","2","0.0478","0.057","0.0632"
"267","COVID-19 year * Medium income household","2","0.0478","0.057","0.0403"
"268","COVID-19 year * Medium income household","2","0.0478","0.057","0.0397"
"269","COVID-19 year * Medium income household","2","0.0478","0.0312","0.0352"
"270","COVID-19 year * Medium income household","2","0.0478","0.0312","0.0632"
"271","COVID-19 year * Medium income household","2","0.0478","0.0312","0.0403"
"272","COVID-19 year * Medium income household","2","0.0478","0.0312","0.0397"
"273","COVID-19 year * Medium income household","3","0.0419","0.0934","0.0352"
"274","COVID-19 year * Medium income household","3","0.0419","0.0934","0.0632"
"275","COVID-19 year * Medium income household","3","0.0419","0.0934","0.0403"
"276","COVID-19 year * Medium income household","3","0.0419","0.0934","0.0397"
"277","COVID-19 year * Medium income household","3","0.0419","0.0727","0.0352"
"278","COVID-19 year * Medium income household","3","0.0419","0.0727","0.0632"
"279","COVID-19 year * Medium income household","3","0.0419","0.0727","0.0403"
"280","COVID-19 year * Medium income household","3","0.0419","0.0727","0.0397"
"281","COVID-19 year * Medium income household","3","0.0419","0.057","0.0352"
"282","COVID-19 year * Medium income household","3","0.0419","0.057","0.0632"
"283","COVID-19 year * Medium income household","3","0.0419","0.057","0.0403"
"284","COVID-19 year * Medium income household","3","0.0419","0.057","0.0397"
"285","COVID-19 year * Medium income household","3","0.0419","0.0312","0.0352"
"286","COVID-19 year * Medium income household","3","0.0419","0.0312","0.0632"
"287","COVID-19 year * Medium income household","3","0.0419","0.0312","0.0403"
"288","COVID-19 year * Medium income household","3","0.0419","0.0312","0.0397"
"289","COVID-19 year * Medium income household","4","0.00458","0.0934","0.0352"
"290","COVID-19 year * Medium income household","4","0.00458","0.0934","0.0632"
"291","COVID-19 year * Medium income household","4","0.00458","0.0934","0.0403"
"292","COVID-19 year * Medium income household","4","0.00458","0.0934","0.0397"
"293","COVID-19 year * Medium income household","4","0.00458","0.0727","0.0352"
"294","COVID-19 year * Medium income household","4","0.00458","0.0727","0.0632"
"295","COVID-19 year * Medium income household","4","0.00458","0.0727","0.0403"
"296","COVID-19 year * Medium income household","4","0.00458","0.0727","0.0397"
"297","COVID-19 year * Medium income household","4","0.00458","0.057","0.0352"
"298","COVID-19 year * Medium income household","4","0.00458","0.057","0.0632"
"299","COVID-19 year * Medium income household","4","0.00458","0.057","0.0403"
"300","COVID-19 year * Medium income household","4","0.00458","0.057","0.0397"
"301","COVID-19 year * Medium income household","4","0.00458","0.0312","0.0352"
"302","COVID-19 year * Medium income household","4","0.00458","0.0312","0.0632"
"303","COVID-19 year * Medium income household","4","0.00458","0.0312","0.0403"
"304","COVID-19 year * Medium income household","4","0.00458","0.0312","0.0397"
"305","COVID-19 year * Medium income household","5","0.0168","0.0934","0.0352"
"306","COVID-19 year * Medium income household","5","0.0168","0.0934","0.0632"
"307","COVID-19 year * Medium income household","5","0.0168","0.0934","0.0403"
"308","COVID-19 year * Medium income household","5","0.0168","0.0934","0.0397"
"309","COVID-19 year * Medium income household","5","0.0168","0.0727","0.0352"
"310","COVID-19 year * Medium income household","5","0.0168","0.0727","0.0632"
"311","COVID-19 year * Medium income household","5","0.0168","0.0727","0.0403"
"312","COVID-19 year * Medium income household","5","0.0168","0.0727","0.0397"
"313","COVID-19 year * Medium income household","5","0.0168","0.057","0.0352"
"314","COVID-19 year * Medium income household","5","0.0168","0.057","0.0632"
"315","COVID-19 year * Medium income household","5","0.0168","0.057","0.0403"
"316","COVID-19 year * Medium income household","5","0.0168","0.057","0.0397"
"317","COVID-19 year * Medium income household","5","0.0168","0.0312","0.0352"
"318","COVID-19 year * Medium income household","5","0.0168","0.0312","0.0632"
"319","COVID-19 year * Medium income household","5","0.0168","0.0312","0.0403"
"320","COVID-19 year * Medium income household","5","0.0168","0.0312","0.0397"
"321","COVID-19 year * High income household","2","0.0911","0.122","0.00549"
"322","COVID-19 year * High income household","2","0.0911","0.122","0.0516"
"323","COVID-19 year * High income household","2","0.0911","0.122","0.033"
"324","COVID-19 year * High income household","2","0.0911","0.122","0.043"
"325","COVID-19 year * High income household","2","0.0911","0.094","0.00549"
"326","COVID-19 year * High income household","2","0.0911","0.094","0.0516"
"327","COVID-19 year * High income household","2","0.0911","0.094","0.033"
"328","COVID-19 year * High income household","2","0.0911","0.094","0.043"
"329","COVID-19 year * High income household","2","0.0911","0.0441","0.00549"
"330","COVID-19 year * High income household","2","0.0911","0.0441","0.0516"
"331","COVID-19 year * High income household","2","0.0911","0.0441","0.033"
"332","COVID-19 year * High income household","2","0.0911","0.0441","0.043"
"333","COVID-19 year * High income household","2","0.0911","0.0186","0.00549"
"334","COVID-19 year * High income household","2","0.0911","0.0186","0.0516"
"335","COVID-19 year * High income household","2","0.0911","0.0186","0.033"
"336","COVID-19 year * High income household","2","0.0911","0.0186","0.043"
"337","COVID-19 year * High income household","3","0.0724","0.122","0.00549"
"338","COVID-19 year * High income household","3","0.0724","0.122","0.0516"
"339","COVID-19 year * High income household","3","0.0724","0.122","0.033"
"340","COVID-19 year * High income household","3","0.0724","0.122","0.043"
